Language,Optimal_at_beta,Optimal_isAt_beta,at_recall,isAt_recall
en,0.6499999999999999,0.7,0.5325,0.7445697577276524
fr,0.5999999999999999,0.35,0.4528,0.6833221339673898
de,0.5999999999999999,0.3,0.4979,0.636647557114743
